LATITUDE           LONGITUDE
21.561269881090002 -90.11350663109
21.561269881090002 -90.11362855105999
21.56137971891 -90.11353079538999
21.561269881090002 -90.11365271535998
21.561269881090002 -90.11355495968998
21.561269881090002 -90.11356704183997
21.561269881090002 -90.11368896180996
21.561269881090002 -90.11370104395995
21.56137971891 -90.11360328828995
21.561269881090002 -90.11361537043994
21.56137971891 -90.11362745258994
21.561269881090002 -90.11363953473993
21.561269881090002 -90.11376145470992
21.56137971891 -90.11366369903992
21.561269881090002 -90.1137856190099
21.561269881090002 -90.1136878633399
21.561269881090002 -90.1136999454899
21.56137971891 -90.11371202763989
21.561269881090002 -90.11383394760988
21.56137971891 -90.11384602975987
21.561269881090002 -90.11374827408987
21.56137971891 -90.11376035623987
21.56137971891 -90.11377243838986
21.561269881090002 -90.11378452053985
21.561269881090002 -90.11390644050984
21.561269881090002 -90.11391852265983
21.561269881090002 -90.11382076698983
21.561269881090002 -90.11383284913983
21.56137971891 -90.11395476910981
21.561269881090002 -90.1139668512598
21.561269881090002 -90.1139789334098
21.561269881090002 -90.1138811777398
21.56137971891 -90.11389325988979
21.561269881090002 -90.11390534203979
21.561269881090002 -90.11391742418978
21.561269881090002 -90.11392950633977
21.56137971891 -90.11394158848977
21.56137971891 -90.11395367063976
21.561269881090002 -90.11396575278975
21.561269881090002 -90.11397783493975
21.56137971891 -90.11398991708974
21.561269881090002 -90.11411183705972
21.561269881090002 -90.11401408138973
21.561269881090002 -90.11413600135971
21.561269881090002 -90.1141480835097
21.561269881090002 -90.1141601656597
21.56137971891 -90.11417224780969
21.561269881090002 -90.1140744921397
21.561269881090002 -90.11419641210968
21.561269881090002 -90.11409865643968
21.561269881090002 -90.11422057640966
21.56137971891 -90.11412282073967
21.561269881090002 -90.11413490288966
21.561269881090002 -90.11414698503965
21.561269881090002 -90.11415906718965
21.561269881090002 -90.11428098715963
21.56137971891 -90.11418323148963
21.561269881090002 -90.11419531363963
21.56137971891 -90.11420739578962
21.561269881090002 -90.11421947793961
21.561269881090002 -90.1143413979096
21.56137971891 -90.1142436422396
21.56137971891 -90.1142557243896
21.561269881090002 -90.11437764435958
21.56137971891 -90.11438972650957
21.56137971891 -90.11440180865957
21.561269881090002 -90.11441389080956
21.561269881090002 -90.11431613513956
21.561269881090002 -90.11432821728955
21.561269881090002 -90.11434029943955
21.561269881090002 -90.11435238158954
21.561269881090002 -90.11447430155953
21.56137971891 -90.11437654588953
21.56137971891 -90.11449846585951
21.561269881090002 -90.11440071018951
21.561269881090002 -90.1145226301595
21.561269881090002 -90.1144248744895
21.561269881090002 -90.11454679445949
21.56137971891 -90.11444903878949
21.56137971891 -90.11457095875947
21.56137971891 -90.11447320308947
21.56137971891 -90.11448528523947
21.561269881090002 -90.11449736738946
21.561269881090002 -90.11450944953945
21.56137971891 -90.11452153168945
21.561269881090002 -90.11453361383944
21.56137971891 -90.11465553380943
